LS,Level,Section,Row,Seat,Seat Status Code,Price Level Code,Item Price
S:2:11:11,S,2,11,11,s,18,0
S:2:11:10,S,2,11,10,s,18,0
S:2:11:9,S,2,11,9,s,18,0
S:2:11:8,S,2,11,8,s,18,0
S:2:11:7,S,2,11,7,s,18,0
S:2:11:6,S,2,11,6,s,18,0
S:2:11:5,S,2,11,5,s,18,0
S:2:11:4,S,2,11,4,s,18,0
S:11:12:5,S,11,12,5,K,18,0
S:11:12:6,S,11,12,6,K,18,0
S:11:12:7,S,11,12,7,K,18,0
S:11:12:8,S,11,12,8,K,18,0
S:11:12:9,S,11,12,9,K,18,0
S:11:12:10,S,11,12,10,K,18,0
S:11:12:11,S,11,12,11,K,18,0
S:11:12:12,S,11,12,12,K,18,0
S:11:12:13,S,11,12,13,K,18,0
S:11:12:14,S,11,12,14,K,18,0
S:11:12:15,S,11,12,15,K,18,0
S:2:12:1,S,2,12,1,s,18,0
S:2:12:2,S,2,12,2,s,18,0
S:2:12:3,S,2,12,3,s,18,0
S:2:12:4,S,2,12,4,s,18,0
S:2:12:5,S,2,12,5,s,18,0
S:2:12:6,S,2,12,6,s,18,0
S:2:12:7,S,2,12,7,s,18,0
S:2:12:8,S,2,12,8,s,18,0
S:2:12:9,S,2,12,9,s,18,0
S:2:12:10,S,2,12,10,s,18,0
S:2:12:11,S,2,12,11,s,18,0
S:2:12:12,S,2,12,12,s,18,0
S:2:12:13,S,2,12,13,s,18,0
S:2:12:14,S,2,12,14,s,18,0
S:2:12:15,S,2,12,15,s,18,0
S:4:12:7,S,4,12,7,s,18,0
S:4:12:8,S,4,12,8,s,18,0
S:4:12:9,S,4,12,9,s,18,0
S:4:12:10,S,4,12,10,s,18,0
S:4:12:11,S,4,12,11,s,18,0
S:4:12:12,S,4,12,12,s,18,0
S:4:12:13,S,4,12,13,s,18,0
S:4:12:14,S,4,12,14,s,18,0
S:4:12:15,S,4,12,15,s,18,0
S:8:10:15,S,8,10,15,K,18,0
S:8:10:14,S,8,10,14,K,18,0
S:8:10:13,S,8,10,13,K,18,0
S:8:10:12,S,8,10,12,K,18,0
S:8:10:11,S,8,10,11,K,18,0
S:8:10:10,S,8,10,10,K,18,0
S:8:10:9,S,8,10,9,K,18,0
S:8:10:8,S,8,10,8,K,18,0
S:8:10:7,S,8,10,7,K,18,0
S:8:10:6,S,8,10,6,K,18,0
S:8:10:5,S,8,10,5,K,18,0
S:8:10:4,S,8,10,4,K,18,0
